position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
231,0,0,0,0,0,0,0,0,0,0,-0.631486,0.632804,-0.85729,0.854274,-1.144185,1.140537,-0.837525,0.838633,-0.409067,0.405732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,-0.61206,0.612159,-0.832317,0.831389,-1.149172,1.145152,-0.870192,0.870384,-0.431469,0.429006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,-0.584998,0.583832,-0.81019,0.810783,-1.154083,1.150496,-0.90181,0.901092,-0.453331,0.451316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,-0.558093,0.556278,-0.796338,0.797621,-1.158554,1.155363,-0.924615,0.923228,-0.46884,0.467132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,-0.511542,0.509011,-0.782294,0.783961,-1.165981,1.163584,-0.953437,0.951258,-0.487832,0.486346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,-0.450717,0.447887,-0.772752,0.774121,-1.174141,1.172415,-0.979032,0.976001,-0.503892,0.502513,-0.02383,0.024313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,-0.379467,0.376544,-0.766957,0.767514,-1.18255,1.181722,-1.002147,0.99844,-0.518202,0.516742,-0.054827,0.055799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,-0.321713,0.318974,-0.763831,0.763493,-1.188215,1.187977,-1.018187,1.014081,-0.528503,0.526873,-0.081601,0.082979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,-0.242791,0.240512,-0.759976,0.758241,-1.194053,1.194581,-1.0383,1.03373,-0.54254,0.54065,-0.120521,0.122443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,-0.165746,0.164082,-0.754764,0.751409,-1.196672,1.197871,-1.057504,1.052617,-0.558154,0.555874,-0.161334,0.16387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,-0.09503,0.094017,-0.746241,0.741311,-1.194605,1.19659,-1.076224,1.071247,-0.576548,0.573638,-0.202269,0.20521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,-0.048836,0.048281,-0.736527,0.73047,-1.189202,1.191665,-1.090254,1.085401,-0.592887,0.589431,-0.23187,0.235076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,-0.717696,0.710293,-1.175821,1.17887,-1.109458,1.104923,-0.619039,0.614736,-0.268311,0.271824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,-0.688738,0.680515,-1.150609,1.15436,-1.125385,1.121552,-0.648508,0.643216,-0.299032,0.302694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,-0.654662,0.64579,-1.120663,1.124898,-1.143444,1.14045,-0.68386,0.677566,-0.325948,0.329698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,-0.626724,0.617464,-1.095546,1.099957,-1.157469,1.155194,-0.713175,0.706155,-0.344144,0.347917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,-0.587427,0.577876,-1.058871,1.063323,-1.175593,1.174154,-0.754725,0.746933,-0.366342,0.370129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
