position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
181,0,0,0,0,0,0,0,0,-0.122571,-0.121688,-1.671988,-1.670008,0.721246,0.700022,-2.238338,-2.229295,-1.111001,-1.105505,0.153883,0.173827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,-1.748502,-1.746851,0.727702,0.705883,-2.1518,-2.141864,-1.147705,-1.141387,0.059057,0.078262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,-1.739666,-1.738731,0.673143,0.652192,-2.018221,-2.008369,-1.191983,-1.185254,-0.055262,-0.037835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,-1.714873,-1.714655,0.565551,0.546485,-1.834952,-1.825696,-1.24035,-1.233358,-0.196616,-0.181749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,-1.687566,-1.68782,0.457875,0.440655,-1.674936,-1.666448,-1.276453,-1.269448,-0.316853,-0.304252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,-1.641057,-1.641935,0.28924,0.274654,-1.444208,-1.437097,-1.319602,-1.312704,-0.490755,-0.481366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,-1.587127,-1.58826,0.104498,0.092713,-1.208239,-1.202621,-1.352202,-1.345596,-0.674499,-0.668202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,-1.530461,-1.531379,-0.082068,-0.091268,-0.982693,-0.978513,-1.368954,-1.362822,-0.862016,-0.85828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,-1.488869,-1.489287,-0.214641,-0.222323,-0.829772,-0.826667,-1.368026,-1.362371,-1.00151,-0.999242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,-1.438918,-1.438078,-0.370912,-0.377267,-0.660103,-0.658213,-1.343693,-1.338891,-1.180246,-1.178933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
