position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
181,0,0,0,0,0,0,0,0,0.29505,0.295004,2.483784,2.481113,-8.646198,-8.583354,3.555182,3.551494,2.761546,2.754344,-0.720155,-0.778432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,2.892319,2.892219,-8.600453,-8.53811,3.017408,3.012733,2.675692,2.667807,-0.473549,-0.530629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,3.013453,3.015998,-8.354235,-8.295772,2.393149,2.388883,2.67535,2.66668,-0.150598,-0.203432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,3.082381,3.087832,-7.93026,-7.877644,1.610018,1.607216,2.695575,2.686141,0.254463,0.208194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,3.146855,3.154362,-7.518766,-7.471196,0.920855,0.919805,2.68153,2.671668,0.579255,0.538918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,3.142044,3.151746,-6.877689,-6.837682,-0.011472,-0.009971,2.691676,2.6814,1.078309,1.046468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,3.108906,3.119675,-6.169982,-6.137059,-0.957569,-0.953521,2.669138,2.658941,1.602637,1.579104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,3.060176,3.071545,-5.437081,-5.411144,-1.866763,-1.859966,2.594192,2.584298,2.131203,2.115115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,3.063813,3.074245,-4.887665,-4.865466,-2.518087,-2.509443,2.458269,2.449164,2.494545,2.482802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,3.019608,3.027163,-4.21045,-4.191577,-3.235991,-3.225698,2.244926,2.237444,2.98093,2.972659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,2.991647,2.994229,-3.612752,-3.594485,-3.787213,-3.776243,1.936162,1.931009,3.42032,3.412345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,2.971356,2.967515,-3.077591,-3.057539,-4.188916,-4.178074,1.55082,1.548566,3.808036,3.797922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,2.994375,2.984996,-2.681366,-2.658852,-4.427819,-4.417631,1.189484,1.189489,4.033627,4.020912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,2.954362,2.937578,-2.182256,-2.155367,-4.63928,-4.63064,0.731095,0.73404,4.323753,4.306923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,2.882634,2.858905,-1.665435,-1.633683,-4.785734,-4.779387,0.267489,0.27301,4.556924,4.536237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,2.765874,2.736239,-1.102069,-1.065783,-4.899492,-4.89642,-0.17626,-0.169175,4.731005,4.707619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,2.679793,2.647039,-0.608379,-0.568627,-4.991819,-4.991143,-0.518489,-0.510625,4.787829,4.763936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,2.450335,2.415557,0.107568,0.150377,-5.124249,-5.127601,-0.868679,-0.861157,4.851783,4.82981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,2.152677,2.118653,0.940102,0.98422,-5.31684,-5.324703,-1.17344,-1.167932,4.820961,4.80435,0.121511,0.123445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,1.800702,1.769845,1.8504,1.894144,-5.534515,-5.547574,-1.427219,-1.425099,4.717094,4.708878,0.283609,0.287696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,1.551099,1.523887,2.579187,2.622258,-5.68997,-5.706851,-1.626193,-1.62691,4.563428,4.562879,0.409735,0.415695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,1.160905,1.139325,3.501543,3.541983,-5.86219,-5.8838,-1.8401,-1.845821,4.34876,4.358919,0.639912,0.648089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0.78038,0.765184,4.357871,4.395333,-5.959133,-5.985278,-2.058911,-2.06935,4.082015,4.103083,0.908639,0.918796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0.432225,0.423336,5.096038,5.13012,-5.943638,-5.973633,-2.302098,-2.317176,3.770868,3.801784,1.215253,1.226778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0.239547,0.235083,5.56886,5.60059,-5.825366,-5.857307,-2.537353,-2.555529,3.478831,3.515794,1.445488,1.457492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,5.97135,6.000021,-5.524212,-5.557992,-2.867934,-2.888849,3.111138,3.153901,1.818476,1.830068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,6.039965,6.065993,-5.097902,-5.131543,-3.278098,-3.300088,2.742405,2.787611,2.241783,2.251967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,5.941825,5.965833,-4.473046,-4.505405,-3.73179,-3.753824,2.347604,2.391976,2.674175,2.681934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
